bh6h6,4,30,50.0,94
huycao,3,7,5.0,100
tytryrt,3,11,16.0,100
tretreterger,3,11,14.0,100
haodz,3,13,21.0,98
hhihi,3,11,19.0,98
gggg,3,11,22.0,98
sdsdwdsaw3d,3,11,18.0,98
huyyf,3,11,17.0,98
hello,3,11,17.0,98
gwdwdw,3,11,18.0,98
kaka,3,11,20.0,98
ksks,3,13,25,98
huy,3,20,33.0,96
dsadsadsdas,3,17,32.0,96
ks_js,3,13,30.0,96
yuytuty,3,21,31.0,96
